lambda,sigma,opt,phase,prr,simple_error,maxmin_error
0.75,250.0,570622918.9188758,1362482624.5946524,1260642855.6083233,121840931590.19608,36130772700.90715
1.0,250.0,570622918.9188758,1446084941.8133233,1140949451.545957,121840931590.19608,36130772700.90715
0.0,250.0,570622918.9188758,1141075937.7382307,1462588145.4098845,124535956802.86363,37247937216.58511
0.25,250.0,570622918.9188758,1360099949.1768398,1547922056.9407911,124535956802.86363,37247937216.58511
0.5,250.0,570622918.9188758,1385965102.7128894,1425999748.0124795,124535956802.86363,37247937216.58511
0.75,250.0,570622918.9188758,1379712283.5107052,1276503331.5657423,124535956802.86363,37247937216.58511
1.0,250.0,570622918.9188758,1384415227.0225313,1140941995.8072426,124535956802.86363,37247937216.58511
0.0,300.0,570622918.9188758,1141075937.7382307,1508724553.8453078,149227430316.57275,44188571505.54231
0.25,300.0,570622918.9188758,1414121180.8922253,1563959331.4694614,149227430316.57275,44188571505.54231
0.5,300.0,570622918.9188758,1416877721.4556623,1405581833.771563,149227430316.57275,44188571505.54231
0.75,300.0,570622918.9188758,1412067062.1210177,1256938951.139923,149227430316.57275,44188571505.54231
1.0,300.0,570622918.9188758,1381154255.2640312,1140946915.9333808,149227430316.57275,44188571505.54231
0.0,300.0,570622918.9188758,1141075937.7382307,1462101916.5954244,149388549122.36325,44242853933.4559
0.25,300.0,570622918.9188758,1412204132.9839828,1526567005.949564,149388549122.36325,44242853933.4559
0.5,300.0,570622918.9188758,1381663083.536728,1400183338.4992192,149388549122.36325,44242853933.4559
0.75,300.0,570622918.9188758,1379371330.1493723,1262053474.5475984,149388549122.36325,44242853933.4559
1.0,300.0,570622918.9188758,1376635812.8729672,1140943638.280074,149388549122.36325,44242853933.4559
0.0,300.0,570622918.9188758,1141075937.7382307,1477158436.72159,147981786667.24133,43973809312.675804
0.25,300.0,570622918.9188758,1373555566.14542,1546028831.1062965,147981786667.24133,43973809312.675804
0.5,300.0,570622918.9188758,1421773971.8255258,1412978618.0728343,147981786667.24133,43973809312.675804
0.75,300.0,570622918.9188758,1413952072.9025908,1270829957.513885,147981786667.24133,43973809312.675804
1.0,300.0,570622918.9188758,1369805169.4247978,1140943252.0494926,147981786667.24133,43973809312.675804
0.0,300.0,570622918.9188758,1141075937.7382307,1505499236.4974978,147830598681.03525,43716102537.512726
0.25,300.0,570622918.9188758,1375826441.0593107,1564258667.7456267,147830598681.03525,43716102537.512726
0.5,300.0,570622918.9188758,1415432334.3669004,1411763060.815918,147830598681.03525,43716102537.512726
0.75,300.0,570622918.9188758,1392021278.6891913,1259253184.594519,147830598681.03525,43716102537.512726
1.0,300.0,570622918.9188758,1414351801.9894235,1140943836.0466125,147830598681.03525,43716102537.512726
0.0,300.0,570622918.9188758,1141075937.7382307,1534794556.2194421,148458619968.66977,44081046230.98437
0.25,300.0,570622918.9188758,1417458958.2631226,1603163288.216926,148458619968.66977,44081046230.98437
0.5,300.0,570622918.9188758,1403786669.4271166,1439422481.0674787,148458619968.66977,44081046230.98437
0.75,300.0,570622918.9188758,1422239755.59899,1274945565.6644793,148458619968.66977,44081046230.98437
1.0,300.0,570622918.9188758,1379690400.9198096,1140945547.285664,148458619968.66977,44081046230.98437
0.0,350.0,570622918.9188758,1141075937.7382307,1512571262.3167856,173541558377.07816,51360480174.10675
0.25,350.0,570622918.9188758,1372533078.4853802,1572304239.7161422,173541558377.07816,51360480174.10675
0.5,350.0,570622918.9188758,1391034948.2601454,1409357903.3775427,173541558377.07816,51360480174.10675
0.75,350.0,570622918.9188758,1428059998.7123911,1256839882.6640291,173541558377.07816,51360480174.10675
1.0,350.0,570622918.9188758,1409986533.1035893,1140947031.4993713,173541558377.07816,51360480174.10675
0.0,350.0,570622918.9188758,1141075937.7382307,1549998601.6564527,172066767852.01294,50868549612.737434
0.25,350.0,570622918.9188758,1376315568.6140382,1616239615.009752,172066767852.01294,50868549612.737434
0.5,350.0,570622918.9188758,1420718920.9996355,1453552427.65136,172066767852.01294,50868549612.737434
0.75,350.0,570622918.9188758,1540114470.913221,1283904647.8110824,172066767852.01294,50868549612.737434
1.0,350.0,570622918.9188758,1418439328.189048,1140944049.4794042,172066767852.01294,50868549612.737434
0.0,350.0,570622918.9188758,1141075937.7382307,1524225866.169151,173567732998.5073,51267574362.2724
0.25,350.0,570622918.9188758,1420347711.2378237,1582838265.9841354,173567732998.5073,51267574362.2724
0.5,350.0,570622918.9188758,1440916570.7341096,1427120167.468807,173567732998.5073,51267574362.2724
0.75,350.0,570622918.9188758,1371080461.1850932,1285245885.5440056,173567732998.5073,51267574362.2724
1.0,350.0,570622918.9188758,1410438792.9984443,1140948871.0450485,173567732998.5073,51267574362.2724
0.0,350.0,570622918.9188758,1141075937.7382307,1552155727.931932,174947878983.9367,51940190633.10845
0.25,350.0,570622918.9188758,1381006929.4885917,1608853167.1420848,174947878983.9367,51940190633.10845
0.5,350.0,570622918.9188758,1385046287.2227068,1456142701.115649,174947878983.9367,51940190633.10845
0.75,350.0,570622918.9188758,1422221340.3299463,1286373724.243861,174947878983.9367,51940190633.10845
1.0,350.0,570622918.9188758,1370766137.684389,1140945621.375343,174947878983.9367,51940190633.10845
0.0,350.0,570622918.9188758,1141075937.7382307,1536107708.7253857,172741961074.5451,51215844241.234856
0.25,350.0,570622918.9188758,1369807063.9836655,1610938942.2619486,172741961074.5451,51215844241.234856
0.5,350.0,570622918.9188758,1381437161.3758395,1447036160.8037171,172741961074.5451,51215844241.234856
0.75,350.0,570622918.9188758,1395178361.0390074,1274294908.8736823,172741961074.5451,51215844241.234856
1.0,350.0,570622918.9188758,1408317820.909426,1140944929.5190115,172741961074.5451,51215844241.234856
0.0,400.0,570622918.9188758,1141075937.7382307,1559270602.5410128,199661714226.57016,59306866490.46293
0.25,400.0,570622918.9188758,1413562016.834067,1619258802.5089948,199661714226.57016,59306866490.46293
0.5,400.0,570622918.9188758,1390734408.609674,1459569460.8322184,199661714226.57016,59306866490.46293
0.75,400.0,570622918.9188758,1408699360.7237298,1294723670.536952,199661714226.57016,59306866490.46293
1.0,400.0,570622918.9188758,1413025570.5789597,1140943567.132458,199661714226.57016,59306866490.46293
0.0,400.0,570622918.9188758,1141075937.7382307,1568508494.400387,196708207595.62643,57765202479.09288
0.25,400.0,570622918.9188758,1407168833.2568805,1626786209.9329257,196708207595.62643,57765202479.09288
0.5,400.0,570622918.9188758,1424141172.7566173,1448673949.171726,196708207595.62643,57765202479.09288
0.75,400.0,570622918.9188758,1405745554.2143734,1274110320.2472851,196708207595.62643,57765202479.09288
1.0,400.0,570622918.9188758,1377105763.7565188,1140949329.7689548,196708207595.62643,57765202479.09288
0.0,400.0,570622918.9188758,1141075937.7382307,1552619740.8407888,197284218989.1946,58232217597.45556
0.25,400.0,570622918.9188758,1419423549.1460047,1624900902.0504363,197284218989.1946,58232217597.45556
0.5,400.0,570622918.9188758,1416414235.6766577,1447666295.0812917,197284218989.1946,58232217597.45556
0.75,400.0,570622918.9188758,1366686380.348183,1278194128.3892646,197284218989.1946,58232217597.45556
